QuestionId,RelatedQuestionId,LinkTypeId,CreationDate
402969,318398,1,2010-04-26T03:03:31.027
465777,462151,1,2010-04-26T03:03:55.080
656483,29044,1,2010-04-26T03:06:11.177
672918,626679,1,2010-04-26T03:06:18.837
767456,508630,1,2010-04-26T03:07:14.247
767456,397867,1,2010-04-26T03:07:14.247
969937,126196,1,2010-04-26T03:09:31.623
969937,408113,1,2010-04-26T03:09:31.623
969937,872137,1,2010-04-26T03:09:31.623
969937,839268,1,2010-04-26T03:09:31.623
1187890,1182338,1,2010-04-26T03:11:38.200
1250219,1210988,1,2010-04-26T03:12:39.430
1388125,1404115,1,2010-04-26T03:14:02.410
1701800,1344965,1,2010-04-26T03:19:56.187
1778655,1778698,1,2010-04-26T03:20:37.263
2012373,899190,1,2010-04-26T03:24:00.017
2028404,414679,1,2010-04-26T03:24:07.443
2031683,2031451,1,2010-04-26T03:24:08.830
2287950,2287576,1,2010-04-26T03:26:58.967
2287950,815961,1,2010-04-26T03:26:58.967
2514940,646809,1,2010-04-26T03:29:59.617
2572734,1127647,1,2010-04-26T03:30:31.313
2640519,1011863,1,2010-04-26T03:31:46.227
2830069,2828953,1,2010-05-13T21:31:39.203
2830069,1744258,1,2010-05-13T21:31:39.203
2957512,1828878,1,2010-06-02T12:21:24.670
2957512,448405,1,2010-06-02T12:21:24.670
3100585,593671,1,2010-06-23T11:20:24.357
3100585,3012788,1,2010-06-23T11:20:24.357
3100585,2932392,1,2010-06-23T11:20:24.357
2769488,3208719,1,2010-07-08T23:55:49.207
3213083,3193211,1,2010-07-09T14:55:32.177
3242226,1301200,1,2010-07-14T14:35:36.973
3242226,2667447,1,2010-07-14T14:35:36.973
3242226,3015765,1,2010-07-14T14:35:36.973
3266045,790542,1,2010-07-18T18:13:59.620
3282418,1317263,1,2010-07-19T16:17:57.390
3369593,1160008,1,2010-07-30T08:19:12.563
3361243,161378,1,2010-07-30T18:33:44.560
3414297,955982,1,2010-08-05T13:54:28.530
3345412,2869245,1,2010-08-07T16:34:22.713
3517013,3579566,1,2010-08-26T21:13:56.653
3588482,142357,1,2010-08-28T01:09:11.733
3634929,1016896,1,2010-09-05T21:47:25.533
3651404,1006967,1,2010-09-06T15:48:52.583
3664611,1347848,1,2010-09-09T04:48:43.480
3719024,2884863,1,2010-09-17T09:10:58.457
3776088,2401140,1,2010-09-23T14:52:56.413
3837988,3871123,1,2010-10-07T09:33:13.797
3885937,2068372,1,2010-10-09T04:59:01.183
1627069,554243,1,2010-10-09T06:34:38.207
3917692,60174,1,2010-10-12T19:17:33.453
3968557,550927,1,2010-10-19T18:25:31.827
3993225,2336242,1,2010-10-22T13:40:53.950
3634929,3944080,1,2010-10-29T10:17:03.170
