QuestionId,TagId
88471,17
88471,3885
106534,2
106534,4984
106534,459
106534,6781
106534,126261
111576,136
111576,1200
111576,8185
111576,3898
163550,9
163550,1
163550,724
207038,9
207038,343
244118,1931
244118,6691
244118,2155
244118,14268
253063,33953
253063,492
253063,1856
256287,681
256287,14846
257111,10
257111,5310
257353,10
257353,1926
257353,276
257538,32472
257538,63
261883,17
261883,760
262579,10
262579,1608
262579,4208
262579,160997
268656,299
268656,14012
268656,5366
302664,7003
302664,121
308339,17
308339,194
308339,451
319189,259
319189,309
319189,17713
319189,17714
323987,1024
323987,2458
323987,21957
325464,9
325464,36252
325464,5310
325464,5608
342737,146
342737,10593
366887,3
366887,2431
371147,4984
371147,363
371147,17300
371147,31445
374684,12
374684,1972
374684,2862
374734,9
374734,19
374734,1227
374734,19931
376221,17
376221,16
376221,522
379958,1
379958,41
379958,36252
379958,5052
389253,33953
389253,733
402969,9
402969,17
402969,1
402969,10
402969,125
405374,16
417699,9
417699,1
417699,543
444192,9
444192,2732
465777,1912
465777,35851
465777,3989
485840,9
485840,470
498928,4984
498928,3280
509685,248
509685,33
509685,3157
531384,1
531384,41
531384,5187
531384,247
531384,4898
534718,17
534718,5142
534718,18787
570294,9
570294,96
570294,82352
570294,3089
570294,6408
596093,10
596093,7428
617308,16
617308,8257
617308,9696
617308,23812
619604,64
649510,11901
656483,30
656483,1835
670197,4984
672918,9
672918,1
672918,859
672918,7509
687003,1835
688089,96
688089,816
688089,317
688089,2493
691737,5
691737,30
691737,2857
691737,256
712763,820
712763,14405
712763,8956
717281,9
726516,4984
756848,10
756848,5852
763008,526
765747,1449
765747,1132
767456,17
767456,1926
772089,10
772089,33953
772089,1158
772089,4328
774825,4984
774825,1141
774825,10761
777204,363
777204,1104
781163,1
781163,1931
781163,186
787288,10
787288,32472
787288,277
787288,178
787288,2097
790321,17
804721,30
804721,194
816480,17
816480,2097
816480,873
816480,17310
836881,63
836881,656
841368,21
841368,30
841368,493
862388,16
862388,58
862388,387
870097,21
870097,2152
872413,9
872413,1
872413,9279
872413,3000
878903,64
883540,820
883540,4196
892912,9
892912,41
892912,6981
892912,3498
923245,725
923245,1747
923245,1066
923245,604
926110,8
926110,5569
926110,9533
940065,5
940065,21
967141,10
967141,1158
967141,5832
967141,2347
969937,2993
969937,1307
995518,96
1018977,16
1018977,10377
1023227,5
1023227,18
1023227,1993
1023227,2189
1023227,1923
1061926,1
1061926,376
1061926,1652
1061926,5937
1063515,34469
1063515,457
1063515,1235
1063515,2015
1063515,2792
1082886,17
1082886,19
1082886,555
1082886,8194
1091342,38
1091342,14012
1091342,299
1112343,16
1112343,2481
1116040,10
1116040,139
1116040,598
1116040,2678
1142162,4984
1142162,12
1142162,190
1184145,299
1184145,829
1184145,11215
1184145,4294
1187890,1931
1187890,5278
1187890,14997
1200160,1208
1200160,2994
1200160,1815
1212183,9
1212183,148
1212183,360
1212183,1926
1212183,2697
1217933,17
1217933,1
1217933,18
1222809,5
1222809,21
1222809,121
1222809,57
1222809,357
1240377,17
1240377,13465
1244236,22
1244236,72
1244236,23
1247116,3
1250219,10
1250219,8
1250219,32472
1268289,12
1268289,279
1268289,1972
1268289,1843
1287802,9
1287802,752
1287802,5210
1287802,364
1303182,10
1303182,1871
1303182,34447
1303182,17691
1323865,9
1323865,1
1323865,96
1323865,4446
1323865,5774
1327280,154
1336910,9
1336910,96
1336910,33953
1348414,277
1348414,2175
1348414,5133
1361116,2
1361116,669
1361116,519
1361116,83
1373721,1
1373721,2433
1373721,2775
1373721,9279
1373721,1537
1374603,215
1374603,1301
1374603,785
1382107,3
1382107,5142
1382107,379
1388125,17
1388125,421
1388125,5499
1391253,267
1391253,18022
1432058,2579
1432058,669
1433861,522
1433861,1289
1433861,2429
1433861,11522
1439208,669
1439208,1253
1439208,33220
1448798,7003
1448798,1435
1448798,26084
1448798,26711
1449975,154
1449975,39605
1449975,39606
1455224,16
1455224,4446
1455224,8760
1462565,16
1462565,5062
1462565,22804
1474538,58
1474538,601
1514775,2
1514775,4
1514775,773
1514775,4495
1525609,154
1525609,1258
1525609,4985
1529673,154
1531836,4984
1534551,299
1534551,22872
1534551,9146
1572574,17
1584004,5
1601474,299
1601474,14012
1601474,9002
1609705,9
1609705,378
1609705,4322
1609705,9187
1609705,173
1615074,72
1615074,531
1615074,5370
1627069,3
1627069,8078
1627069,26527
1629590,18
1640364,17
1646819,370
1665390,8
1665390,7428
1665390,36046
1671823,17
1671823,19
1671823,3935
1671823,2863
1671823,42699
1679789,848
1679789,12929
1679789,9317
1701800,930
1701800,7751
1701800,1449
1708429,820
1714653,154
1716081,119
1716081,115
1716081,5962
1747006,21
1747006,1694
1760198,2
1760198,9313
1760198,4158
1763619,17
1763619,1082
1763619,17417
1765024,12
1765024,277
1765024,5694
1772187,5
1772187,607
1777245,4984
1777245,30
1777245,361
1778655,8
1778655,543
1778655,1477
1778655,125
1782577,9
1782577,28
1789741,118
1789741,125
1789741,681
1789741,35034
1809134,72
1809134,23
1809134,10557
1810791,299
1810791,14012
1810791,3612
1820102,9
1820102,28
1820102,33126
1837980,378
1837980,3482
1851348,4984
1862646,18
1862646,146
1871287,243
