Id,PostId,VoteTypeId,CreationDate
236954,88621,2,2008-09-18T00:00:00.000
293605,111576,2,2008-09-21T00:00:00.000
293615,111576,2,2008-09-21T00:00:00.000
293619,111576,2,2008-09-21T00:00:00.000
293634,111583,2,2008-09-21T00:00:00.000
293666,111576,2,2008-09-21T00:00:00.000
293669,111576,2,2008-09-21T00:00:00.000
293679,111583,3,2008-09-21T00:00:00.000
293688,111589,2,2008-09-21T00:00:00.000
293690,111601,2,2008-09-21T00:00:00.000
293691,111604,3,2008-09-21T00:00:00.000
293754,111601,2,2008-09-21T00:00:00.000
293764,111583,2,2008-09-21T00:00:00.000
293765,111598,2,2008-09-21T00:00:00.000
293767,111584,2,2008-09-21T00:00:00.000
293847,111576,2,2008-09-21T00:00:00.000
293855,111601,2,2008-09-21T00:00:00.000
294052,111584,2,2008-09-21T00:00:00.000
294096,111604,2,2008-09-21T00:00:00.000
294097,111576,2,2008-09-21T00:00:00.000
294131,111584,2,2008-09-21T00:00:00.000
294133,111601,2,2008-09-21T00:00:00.000
294165,111576,2,2008-09-21T00:00:00.000
294269,111669,2,2008-09-21T00:00:00.000
294533,111601,3,2008-09-21T00:00:00.000
294534,111584,3,2008-09-21T00:00:00.000
295189,112067,2,2008-09-21T00:00:00.000
295352,111576,2,2008-09-21T00:00:00.000
295672,112067,3,2008-09-21T00:00:00.000
295709,111669,3,2008-09-21T00:00:00.000
295711,111914,3,2008-09-21T00:00:00.000
295714,112199,2,2008-09-21T00:00:00.000
295804,111598,2,2008-09-21T00:00:00.000
295810,112067,2,2008-09-21T00:00:00.000
295824,111914,2,2008-09-21T00:00:00.000
295837,112067,2,2008-09-21T00:00:00.000
295980,111576,2,2008-09-21T00:00:00.000
295987,111598,2,2008-09-21T00:00:00.000
295997,111601,2,2008-09-21T00:00:00.000
295998,111584,2,2008-09-21T00:00:00.000
297111,111914,2,2008-09-22T00:00:00.000
297112,112242,2,2008-09-22T00:00:00.000
297121,111576,2,2008-09-22T00:00:00.000
297477,112242,2,2008-09-22T00:00:00.000
300504,111584,2,2008-09-22T00:00:00.000
301210,111598,1,2008-09-22T00:00:00.000
311187,112067,2,2008-09-23T00:00:00.000
311194,111598,2,2008-09-23T00:00:00.000
317148,111598,2,2008-09-23T00:00:00.000
326051,112067,2,2008-09-24T00:00:00.000
326055,111764,3,2008-09-24T00:00:00.000
326059,111589,2,2008-09-24T00:00:00.000
326060,111764,2,2008-09-24T00:00:00.000
327531,111914,2,2008-09-24T00:00:00.000
406878,111601,2,2008-10-01T00:00:00.000
406898,111914,2,2008-10-01T00:00:00.000
406899,112242,2,2008-10-01T00:00:00.000
406914,111730,2,2008-10-01T00:00:00.000
427664,163585,2,2008-10-02T00:00:00.000
427685,163594,2,2008-10-02T00:00:00.000
427891,163550,2,2008-10-02T00:00:00.000
428255,163585,2,2008-10-02T00:00:00.000
428839,163585,2,2008-10-02T00:00:00.000
428840,163550,2,2008-10-02T00:00:00.000
428841,163594,2,2008-10-02T00:00:00.000
439418,163585,2,2008-10-03T00:00:00.000
439419,163550,2,2008-10-03T00:00:00.000
441991,163585,1,2008-10-03T00:00:00.000
550505,111576,2,2008-10-15T00:00:00.000
550508,111598,2,2008-10-15T00:00:00.000
550517,111584,2,2008-10-15T00:00:00.000
550582,111914,2,2008-10-15T00:00:00.000
558147,207038,2,2008-10-16T00:00:00.000
558240,207038,2,2008-10-16T00:00:00.000
558279,207038,2,2008-10-16T00:00:00.000
558457,207084,2,2008-10-16T00:00:00.000
558462,207048,2,2008-10-16T00:00:00.000
559662,207048,2,2008-10-16T00:00:00.000
559829,207084,2,2008-10-16T00:00:00.000
559958,207048,3,2008-10-16T00:00:00.000
560001,207084,2,2008-10-16T00:00:00.000
560008,207088,2,2008-10-16T00:00:00.000
560009,207038,2,2008-10-16T00:00:00.000
562385,207048,2,2008-10-16T00:00:00.000
563171,207048,1,2008-10-16T00:00:00.000
565509,207038,2,2008-10-16T00:00:00.000
568862,207048,2,2008-10-17T00:00:00.000
568864,207084,2,2008-10-17T00:00:00.000
571278,207038,2,2008-10-17T00:00:00.000
571282,207457,2,2008-10-17T00:00:00.000
586587,111584,3,2008-10-19T00:00:00.000
586590,111601,3,2008-10-19T00:00:00.000
586591,111914,3,2008-10-19T00:00:00.000
586593,112067,2,2008-10-19T00:00:00.000
586594,112242,2,2008-10-19T00:00:00.000
586596,111730,2,2008-10-19T00:00:00.000
586597,111764,2,2008-10-19T00:00:00.000
586598,156060,2,2008-10-19T00:00:00.000
665907,111584,3,2008-10-28T00:00:00.000
670686,244144,2,2008-10-28T00:00:00.000
670760,244118,2,2008-10-28T00:00:00.000
672055,244118,2,2008-10-28T00:00:00.000
672126,244118,2,2008-10-28T00:00:00.000
672518,106616,2,2008-10-28T00:00:00.000
678183,106616,2,2008-10-29T00:00:00.000
696537,253167,2,2008-10-31T00:00:00.000
696637,253167,2,2008-10-31T00:00:00.000
696650,253167,2,2008-10-31T00:00:00.000
697244,253167,2,2008-10-31T00:00:00.000
698141,253167,2,2008-10-31T00:00:00.000
698142,253167,1,2008-10-31T00:00:00.000
706049,256294,2,2008-11-02T00:00:00.000
706050,256287,2,2008-11-02T00:00:00.000
708703,257111,2,2008-11-02T00:00:00.000
